route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
3776290,SW,3776290_SW_via Dante_via della Quercia,via della Quercia,,3776267
3776290,SW,3776290_SW_via della Quercia_via Dante,via Dante,,3776268
3776290,NW,3776290_NW_via Dante_via della Quercia,via della Quercia,,3776267
3776290,NW,3776290_NW_via della Quercia_via Dante,via Dante,,3776268
3776291,WW,3776291_WW_Cimitero_Piazza Matteotti,Piazza Matteotti,,3776269
3776291,WW,3776291_WW_Piazza Matteotti_Cimitero,Cimitero,,3776270
3776291,SW,3776291_SW_Cimitero_Piazza Matteotti,Piazza Matteotti,,3776269
3776291,SW,3776291_SW_Piazza Matteotti_Cimitero,Cimitero,,3776270
3776291,NW,3776291_NW_Cimitero_Piazza Matteotti,Piazza Matteotti,,3776269
3776291,NW,3776291_NW_Piazza Matteotti_Cimitero,Cimitero,,3776270
3776292,WW,3776292_WW_Piazza S.Agnese_via Fermi,via Fermi,,3776281
3776292,WW,3776292_WW_via Fermi_Piazza S.Agnese,Piazza S.Agnese,,3784948
3776292,SW,3776292_SW_Piazza S.Agnese_via Fermi,via Fermi,,3776281
3776292,SW,3776292_SW_via Fermi_Piazza S.Agnese,Piazza S.Agnese,,3784948
3776292,NW,3776292_NW_Piazza S.Agnese_via Fermi,via Fermi,,3776281
3776292,NW,3776292_NW_via Fermi_Piazza S.Agnese,Piazza S.Agnese,,3784948
3776293,WW,3776293_WW_Piazza Matteotti_via 1° maggio,via 1° maggio,,3776265
3776293,WW,3776293_WW_Via 1° maggio_Piazza Matteotti,Piazza Matteotti,,3776266
3776293,SW,3776293_SW_Piazza Matteotti_via 1° maggio,via 1° maggio,,3776265
3776293,SW,3776293_SW_Via 1° maggio_Piazza Matteotti,Piazza Matteotti,,3776266
3776293,NW,3776293_NW_Piazza Matteotti_via 1° maggio,via 1° maggio,,3776265
3776293,NW,3776293_NW_Via 1° maggio_Piazza Matteotti,Piazza Matteotti,,3776266
3776294,WW,3776294_WW_Via Dante_Via dei Pesci,Via dei Pesci,,3797252
3776294,WW,3776294_WW_Via dei Pesci_Via dei Messapi,Via dei Messapi,,3797255
3776294,SW,3776294_SW_Via Dante_Via dei Pesci,Via dei Pesci,,3797252
3776294,SW,3776294_SW_Via dei Pesci_Via dei Messapi,Via dei Messapi,,3797255
3776294,NW,3776294_NW_Via Dante_Via dei Pesci,Via dei Pesci,,3797252
3776294,NW,3776294_NW_Via dei Pesci_Via dei Messapi,Via dei Messapi,,3797255
3776295,WW,3776295_WW_Piazza Matteotti_Borgo Venusio,Borgo Venusio,,3776280
3776295,WW,3776295_WW_Borgo Venusio_Piazza Matteotti,Piazza Matteotti,,3776279
3776295,SW,3776295_SW_Piazza Matteotti_Borgo Venusio,Borgo Venusio,,3776280
3776295,SW,3776295_SW_Borgo Venusio_Piazza Matteotti,Piazza Matteotti,,3776279
3776295,NW,3776295_NW_Piazza Matteotti_Borgo Venusio,Borgo Venusio,,3776280
3776295,NW,3776295_NW_Borgo Venusio_Piazza Matteotti,Piazza Matteotti,,3776279
