id,name,time,comment
153 -,154 VIA DANTE,7:06,
155,VIA DANTE,7:07,Fr. Ist. Professionale
156,VIA LAZZAZZERA,7:08,Fr. Caserma GdF
75,VIALE EUROPA,7:09,
76,VIALE EUROPA,7:09,
76,VIALE EUROPA,7:10,
77,VIALE EUROPA,7:10,
78,VIALE EUROPA,7:11,Bar Europa
79,VIALE EUROPA,7:11,inc. Via Padula
80,VIALE EUROPA,7:11,
157,VIA TIMMARI,7:12,
,VIA DE ROBERTIS,7:13,
81,VIA CAPPELLUTI,7:13,
82,VIA PASSARELLI,7:14,
83,VIA PASSARELLI,7:14,
84,VIA PASSARELLI,7:14,civico 3
21-22,VIA LUCANA,7:15,Boschetto
23,VIA LUCANA,7:16,Inail
85,VIA LANERA,7:18,
86,VIA LEVI,7:22,Chiesa S. Antonio
87,VIA LEVI,7:22,
88,VIA LEVI,7:23,
158,VIA MORELLI,7:24,
135,VIA F. ARDEATINE,7:25,
136,VIA LEVI,7:25,
39,VIA LUCANA,7:27,Milizia
40,VIA LUCANA,7:27,
41,VIA LUCANA,7:28,Chiesa S. Rocco
42,VIA LUCANA,7:28,Provincia
43,VIA LUCANA,7:29,
44,VIA LUCANA,7:29,Inail
45,VIA LUCANA,7:30,Ex Bar Antico
,VIA ROMA,7:31,
104 -,105 PIAZZA MATTEOTTI,7:31,
106 -,107 VIA MORO,7:32,Ist. Commerciale
,VIALE NAZ. UNITE,7:33,PalaBagnale
113,VIALE S. CATERINA,7:34,
114,VIALE EUROPA,7:35,Fr. inc. Via Padula
115,VIALE EUROPA,7:35,Fr. Bar Europa
116,VIALE EUROPA,7:36,
117,VIALE EUROPA,7:36,fronte pineta
118,VIALE EUROPA,7:37,
119,VIA LAZZAZZERA,7:38,Caserma GdF
137,VIA LAZZAZZERA,7:39,
138,VIA LAZZAZZERA,7:39,Datacontact
139,VIA NAZIONALE,7:40,Farmacia
140,VIA NAZIONALE,7:41,
141,VIA NAZIONALE,7:43,Staz. Villa Longo
142,C.DA QUARTARELLA,7:44,
143,C.DA LA VAGLIA,7:44,
144,C.DA LA VAGLIA,7:45,
145,C.DA LA PALOMBA,7:47,
146,C.DA LA VAGLIA,7:48,
147,CIMITERO,7:50,CAPOLINEA
147,CIMITERO,8:00,CAPOLINEA
148,C.DA LA VAGLIA,8:02,
149,C.DA LA VAGLIA,8:02,
150,C.DA QUARTARELLA,8:03,
151,C.DA QUARTARELLA,8:03,
12,VIA NAZIONALE,8:04,Fr. Staz. Villa L.
13,VIA NAZIONALE,8:05,
14,VIA NAZIONALE,8:05,
152,VIA MANZONI,8:05,
