id,name,time,comment
61,VIA SINNI,7:04,
62,VIA AGRI,7:05,
63,VIA AGRI,7:05,
64,VIA CONVERSI,7:06,
65,VIA CONVERSI,7:06,
66,VIA B. CROCE,7:06,Fr. ex Biblioteca
1,VIA FERMI,7:07,Scuola elem.
2,VIA FERMI,7:07,
,VIA TRABACI,7:07,
3,VIA MATTEI,7:08,Farmacia
,VIA SALLUSTIO,7:08,
122,VIA TARANTO,7:08,Piazzetta
123,VIA TARANTO,7:09,
4,VIA SALLUSTIO,7:10,Piazza
5,VIA SALLUSTIO,7:10,
6,VIA GRAVINA,7:12,Snam
124,VIA GRAVINA,7:13,
125,VIA DANTE,7:13,
126,VIA STURZO,7:14,
127,VIA SAN PARDO,7:15,
128,VIA SAN PARDO,7:15,
129,VIA SAN PARDO,7:16,
130,VIA MARCONI,7:17,
131,VIA MARCONI,7:18,civico 1
18,VIA ANNUNZIATELLA,7:20,
19,VIA ANNUNZIATELLA,7:21,inc. Via Rosselli
,VIA XX SETTEMBRE,7:22,
20,VIA LUCANA,7:23,
21-22,VIA LUCANA,7:25,Boschetto
23,VIA LUCANA,7:25,Inail
,VIA LANERA,7:25,
132,VIA CASTELLO,7:26,
133,VIA CASTELLO,7:26,
134,VIA CASTELLO,7:27,bretella Via Pecci
,VIA A.M. DI FRANCIA,7:28,
86,VIA LEVI,7:28,Chiesa S. Antonio
100,VIA DELL'ULIVO,7:29,Piazza Semeria
101,VIA DELLA QUERCIA,7:29,
102,VIA DELLA QUERCIA,7:30,CAPOLINEA
102,VIA DELLA QUERCIA,7:40,CAPOLINEA
103,VIA LANERA,7:42,Ist. Magistrale
44,VIA LUCANA,7:43,Inail 
45,VIA LUCANA,7:45,Ex Bar Antico
,VIA ROMA,7:46,
104 -,105 PIAZZA MATTEOTTI,7:47,
106 -,107 VIA MORO,7:49,Ist. Commerciale
,VIALE NAZ. UNITE,7:50,PalaBagnale
,VIALE NAZ. UNITE,7:51,
113,VIALE S. CATERINA,7:52,
114,VIALE EUROPA,7:53,Fr. inc. Via Padula
115,VIALE EUROPA,7:55,Fr. Bar Europa
116,VIALE EUROPA,7:56,
117,VIALE EUROPA,7:56,
118,VIALE EUROPA,7:57,
119,VIA LAZZAZZERA,7:58,Caserma GdF
120,VIA DANTE,8:00,Ist. Professionale
121,VIA DANTE,8:00,
,VIA DEI NORMANNI,8:01,
110,VIALE ITALIA,8:01,
111,VIALE ITALIA,8:02,
112,VIALE ITALIA,8:02,Fr. inc. Aragonesi
60,VIA TRABACI,8:03,
59,VIA B. CROCE,8:03,Chiesa S .Giacomo
108,VIA B. CROCE,8:04,Ex Biblioteca
61,VIA SINNI,8:04,
