id,name,time,comment
1,VIA FERMI,7:15,Scuola elem.
2,VIA FERMI,7:15,
,VIA TRABACI,7:16,
187,VIA G. DA VENOSA,7:17,
188,VIA G. DA VENOSA,7:17,
,VIA MEUCCI,7:17,
189,VIA STURZO,7:18,Fr. Telecom
190,VIA STURZO,7:18,
191,VIA DANTE,7:20,inc. Via Olivetti
153 -,154 VIA DANTE,7:21,
155,VIA DANTE,7:22,Fr. Ist. Professionale
192,VIA LAMALFA,7:22,Caserma Carabinieri
193,VIA LAMALFA,7:23,Comune
194,PIAZZA MATTEOTTI,7:23,Edicola
,VIA DON MINZONI,7:24,
21-22,VIA LUCANA,7:25,Boschetto
23,VIA LUCANA,7:25,Inail
85,VIA LANERA,7:26,
86,VIA LEVI,7:27,Chiesa S. Antonio
87,VIA LEVI,7:27,
88,VIA LEVI,7:28,
158,VIA MORELLI,7:29,
135,VIA FOSSE ARDEATINE,7:30,
136,VIA LEVI,7:30,
90,VIA MONTESCAGLIOSO,7:32,Ospedale
91,VIA MONTESCAGLIOSO,7:32,
195,VIA FRANGIONE,7:33,ASM
196,VIA FARINA,7:34,
197,VIA FARINA,7:35,
198,VIA FARINA,7:35,
169,VIA FARINA,7:37,
170,VIA FRANGIONE,7:38,
171,VIA GUIDA,7:39,
172,PIAZZA S. AGNESE,7:40,CAPOLINEA
172,PIAZZA S. AGNESE,7:50,CAPOLINEA
173,VIA CAPPUCCINI,7:51,
174,VIA CAPPUCCINI,7:51,
175,VIA CAPPUCCINI,7:52,
,VIA LUCANA,7:52,
199,VIA LEVI,7:53,inc Fosse Ard.
99,VIA LEVI,7:54,
100,VIA DELL' ULIVO,7:55,Piazza Semeria
101,VIALE DELLA QUERCIA,7:55,
102,VIALE DELLA QUERCIA,7:56,
,VIA LANERA,7:56,
200,VIA A.M. DI FRANCIA,7:57,Dep. Enel
201,VIA PASSARELLI,7:58,
82,VIA PASSARELLI,7:58,
83,VIA PASSARELLI,7:59,
84,VIA PASSARELLI,8:00,civico 3
,VIA LUCANA,8:00,
,VIA ROMA,8:01,
104 -,105 PIAZZA MATTEOTTI,8:02,
106 -,107 VIA MORO,8:03,Ist. Commerciale
,VIALE NAZ. UNITE,8:03,PalaBagnale
,VIALE NAZ. UNITE,8:04,
113,VIALE S. CATERINA,8:04,
114,VIALE EUROPA,8:05,Fr. inc. Via Padula
115,VIALE EUROPA,8:06,Fr. Bar Europa
116,VIALE EUROPA,8:07,
117,VIALE EUROPA,8:07,
118,VIALE EUROPA,8:08,
119,VIA LAZZAZZERA,8:09,Caserma GdF
120,VIA DANTE,8:10,Ist. Professionale
121,VIA DANTE,8:10,
,VIA DEI NORMANNI,8:11,
110,VIALE ITALIA,8:12,
111,VIALE ITALIA,8:12,
112,VIALE ITALIA,8:13,Fr. inc. Aragonesi
60,VIA TRABACI,8:14,
59,VIA B. CROCE,8:14,Chiesa S .Giacomo
1,VIA FERMI,8:15,Scuola elem.
