id,name,time,comment
104 -,105 P.ZZA MATTEOTTI,9:05,CAPOLINEA
,VIA MORO,9:06,
228,VIA LAMALFA,9:08,Comune 
229,VIA LAMALFA,9:09,
120,VIA DANTE,9:13,Ist. Professionale
121,VIA DANTE,9:13,
230,VIA DANTE,9:15,
56,VIA STURZO,9:17,
57,VIA STURZO,9:17,Telecom
60,VIA TRABACI,9:18,
59,VIA B. CROCE,9:19,Chiesa S .Giacomo
108,VIA B. CROCE,9:19,Ex Biblioteca
61,VIA SINNI,9:20,
64,VIA CONVERSI,9:20,
65,VIA CONVERSI,9:21,
66,VIA B. CROCE,9:21,Fr. ex Biblioteca
1,VIA FERMI,9:22,Scuola elem.
2,VIA FERMI,9:22,
,VIA TRABACI,9:22,
3,VIA MATTEI,9:23,Farmacia
4,VIA SALLUSTIO,9:24,Piazza
5,VIA SALLUSTIO,9:24,
6,VIA GRAVINA,9:25,Snam 
7,VIA DEI DAUNI,9:26,
8,VIA DEI PEUCEZI,9:27,inc. Via Messapi
9,VIA DEI PEUCEZI,9:27,
10,VIA DEI PEUCEZI,9:27,inc. Via Japigi
11,VIA DEI PEUCEZI,9:28,
142,C.DA QUARTARELLA,9:30,
143,C.DA LA VAGLIA,9:32,
144,C.DA LA VAGLIA,9:33,
146,C.DA LA VAGLIA,9:34,
147,CIMITERO,9:35,
148,C.DA LAVAGLIA,9:36,
149,C.DA LA VAGLIA,9:36,
150,C.DA QUARTARELLA,9:37,
151,C.DA QUARTARELLA,9:37,
178,VIA DEI PEUCEZI,9:38,
179,VIA DEI PEUCEZI,9:39,
180,VIA DEI PEUCEZI,9:39,
181,VIA DEI PEUCEZI,9:40,
206,VIA DEI DAUNI,9:40,
,VIA GRAVINA,9:40,
211,VIA SALLUSTIO,9:41,
212,VIA SALLUSTIO,9:41,Piazza
213,VIA MATTEI,9:41,
,VIA TRABACI,9:42,
231,VIA FERMI,9:42,
232,VIA FERMI,9:42,Fr. Scuola elem.
108,VIA B. CROCE,9:43,Ex Biblioteca
61,VIA SINNI,9:43,
64,VIA CONVERSI,9:44,
65,VIA CONVERSI,9:44,
66,VIA B. CROCE,9:45,Fr. ex Biblioteca
67,VIA B. CROCE,9:45,Fr.Chiesa S .Giacomo
68,VIA TRABACI,9:45,Edicola
189,VIA STURZO,9:46,Fr. Telecom
190,VIA STURZO,9:46,
191,VIA DANTE,9:47,inc. Via Olivetti
153 -,154 VIA DANTE,9:47,
155,VIA DANTE,9:47,Fr. Ist. Professionale
156,VIA LAZZAZZERA,9:48,Fr. Caserma GdF
75,VIALE EUROPA,9:49,
76,VIALE EUROPA,9:49,
77,VIALE EUROPA,9:50,
78,VIALE EUROPA,9:50,Bar Europa
79,VIALE EUROPA,9:51,inc. Via Padula
80,VIALE EUROPA,9:51,
,VIA DE ROBERTIS,9:51,
81,VIA CAPPELLUTI,9:51,
82,VIA PASSARELLI,9:52,
83,VIA PASSARELLI,9:53,
84,VIA PASSARELLI,9:53,civico 3
,VIA LUCANA,9:53,
,VIA ROMA,9:54,
104 -,105 P.ZZA MATTEOTTI,9:55,CAPOLINEA
