id,name,time,comment
1,VIA FERMI,6:20,Scuola elem.
2,VIA FERMI,6:21,
,VIA TRABACI,6:23,
3,VIA MATTEI,6:24,Farmacia
4,VIA SALLUSTIO,6:25,Piazza
5,VIA SALLUSTIO,6:26,
6,VIA GRAVINA,6:27,Snam
7,VIA DEI DAUNI,6:28,
8,VIA DEI PEUCEZI,6:30,inc. Via Messapi
9,VIA DEI PEUCEZI,6:30,
10,VIA DEI PEUCEZI,6:31,inc. Via Japigi
11,VIA DEI PEUCEZI,6:31,
12,VIA NAZIONALE,6:32,Fr. Staz. Villa L.
13,VIA NAZIONALE,6:33,
14,VIA NAZIONALE,6:33,
15,VIA NAZIONALE,6:34,Fr. Farmacia
16,VIA NAZIONALE,6:34,
17,VIA ANNUNZIATELLA,6:35,
18,VIA ANNUNZIATELLA,6:35,
19,VIA ANNUNZIATELLA,6:36,inc. Via Rosselli
,VIA XX SETTEMBRE,6:37,
20,VIA LUCANA,6:38,
21-22,VIA LUCANA,6:40,Boschetto
23,VIA LUCANA,6:41,Inail
24,VIA LUCANA,6:41,
25,VIA LUCANA,6:42,Provincia
26,VIA LUCANA,6:42,Fr.Chiesa S.Rocco
27,VIA LUCANA,6:42,
28,VIA LUCANA,6:43,Milizia
29,VIA CAPPUCCINI,6:45,
30,VIA CAPPUCCINI,6:45,
31,VIA GUIDA,6:46,
32,VIA FRANGIONE,6:46,Scuola elem.
33,VIA FARINA,6:46,
34,VIA FARINA,6:47,
35,VIA FARINA,6:47,
36,VIA FARINA,6:48,
37,VIA FRANGIONE,6:50,Capolinea - ASM
37,VIA FRANGIONE,7:00,Capolinea - ASM
38,VIA MONTESCAGLIOSO,7:01,
39,VIA LUCANA,7:02,Milizia
40,VIA LUCANA,7:02,
41,VIA LUCANA,7:03,Chiesa S. Rocco
42,VIA LUCANA,7:03,Provincia
43,VIA LUCANA,7:04,
44,VIA LUCANA,7:05,Inail
45,VIA LUCANA,7:05,Ex Bar Antico
46,VIA LUCANA,7:06,Cinema Duni
,VIA XX SETTEMBRE,7:06,
47,VIA ANNUNZIATELLA,7:07,inc. Via Rosselli
48,VIA ANNUNZIATELLA,7:07,Cons. di Bonif.
49,VIA MARCONI,7:08,
50,VIA MARCONI,7:09,
51,VIA MARCONI,7:09,Fr. Chiesa SS. Ann.
52,VIA SAN PARDO,7:10,
53,VIA SAN PARDO,7:11,civico 96
54,VIA SAN PARDO,7:11,
55,VIA STURZO,7:12,Fr. Chiesa S.Paolo
56,VIA STURZO,7:12,
57,VIA STURZO,7:13,Telecom
,VIA MEUCCI,7:14,
58,VIA G. DA VENOSA,7:15,
,VIA TRABACI,7:17,Scuola elem.
59,VIA B. CROCE,7:19,Chiesa S .Giacomo
1,VIA FERMI,7:20,Scuola elem.
