id,name,time,comment
153 -,154 VIA DANTE,6:45,
155,VIA DANTE,6:45,Fr. Ist. Professionale
156,VIA LAZZAZZERA,6:47,Fr. Caserma GdF
75,VIALE EUROPA,6:49,
76,VIALE EUROPA,6:49,
77,VIALE EUROPA,6:50,
78,VIALE EUROPA,6:50,Bar Europa
79,VIALE EUROPA,6:51,inc. Via Padula
80,VIALE EUROPA,6:51,
,VIA DE ROBERTIS,6:51,
81,VIA CAPPELLUTI,6:52,
82,VIA PASSARELLI,6:53,
83,VIA PASSARELLI,6:53,
84,VIA PASSARELLI,6:54,civico 3
21-22,VIA LUCANA,6:55,Boschetto
23,VIA LUCANA,6:55,Inail
85,VIA LANERA,6:57,
86,VIA LEVI,6:58,Chiesa S. Antonio
87,VIA LEVI,7:00,
88,VIA LEVI,7:00,
158,VIA MORELLI,7:01,
135,VIA F. ARDEATINE,7:01,
99,VIA LEVI,7:02,
100,VIA DELL'ULIVO,7:03,Piazza Semeria
101,VIA DELLA QUERCIA,7:03,
102,VIA DELLA QUERCIA,7:04,CAPOLINEA
102,VIA DELLA QUERCIA,7:10,CAPOLINEA
103,VIA LANERA,7:12,Ist. Magistrale
44,VIA LUCANA,7:13,Inail
45,VIA LUCANA,7:15,Ex Bar Antico
,VIA ROMA,7:16,
104 -,105 P.ZZA MATTEOTTI,7:17,
106 -,107 VIA MORO,7:19,Ist. Commerciale
,VIALE NAZ. UNITE,7:20,PalaBagnale
113,VIALE S. CATERINA,7:21,
114,VIALE EUROPA,7:22,Fr. inc. Via Padula
115,VIALE EUROPA,7:23,Fr. Bar Europa
116,VIALE EUROPA,7:23,
117,VIALE EUROPA,7:24,
118,VIALE EUROPA,7:25,
119,VIA LAZZAZZERA,7:25,Caserma GdF
120,VIA DANTE,7:27,Ist. Professionale
121,VIA DANTE,7:28,
,VIA DEI NORMANNI,7:30,
110,VIALE ITALIA,7:30,
111,VIALE ITALIA,7:31,
112,VIALE ITALIA,7:31,f. inc. V. Aragonesi
60,VIA TRABACI,7:32,
59,VIA B. CROCE,7:32,Chiesa S .Giacomo
1,VIA FERMI,7:33,Scuola elem.
2,VIA FERMI,7:33,
,VIA TRABACI,7:34,
3,VIA MATTEI,7:35,Farmacia
122,VIA TARANTO,7:35,Piazzetta
123,VIA TARANTO,7:36,
4,VIA SALLUSTIO,7:36,Piazza
5,VIA SALLUSTIO,7:37,
6,VIA GRAVINA,7:39,Snam
124,VIA GRAVINA,7:40,
125,VIA DANTE,7:41,
191,VIA DANTE,7:43,inc. Via Olivetti
