id,name,time,comment
223,VIA 1° MAGGIO,5:58,
224,VIA GIARDINELLE,5:58,
64,VIA CONVERSI,5:59,
65,VIA CONVERSI,6:00,inc. Via Sinni
66,VIA B. CROCE,6:01,Fr. ex Biblioteca
67,VIA B. CROCE,6:02,Fr. Chiesa S.Giacomo
68,VIA TRABACI,6:03,Edicola
69,VIALE ITALIA,6:03,civico 4
70,VIALE ITALIA,6:04,
71,VIALE ITALIA,6:04,Murales
72,VIA DEI NORMANNI,6:06,inc. Via De Martino
268,VIA MANZONI,6:08,
15,VIA NAZIONALE,6:08,Fr. Farmacia
226,VIA LAZZAZZERA,6:09,Fr. Datacontact
227,VIA LAZZAZZERA,6:10,Scuola M. Pascoli
156,VIA LAZZAZZERA,6:11,Fr. Caserma GdF
75,VIALE EUROPA,6:12,
76,VIALE EUROPA,6:13,
77,VIALE EUROPA,6:13,
78,VIALE EUROPA,6:14,Bar Europa
79,VIALE EUROPA,6:15,inc. Via Padula
80,VIALE EUROPA,6:15,
,VIA DE ROBERTIS,6:16,
81,VIA CAPPELLUTI,6:16,
82,VIA PASSARELLI,6:18,
83,VIA PASSARELLI,6:20,
84,VIA PASSARELLI,6:22,civico 3
,VIA LUCANA,6:22,
,VIA ROMA,6:23,
104 -,105 P.ZZA MATTEOTTI,6:25,CAPOLINEA
104 -,105 P.ZZA MATTEOTTI,6:35,CAPOLINEA
106 -,107 VIA MORO,6:36,Ist. Commerciale
,VIALE NAZ. UNITE,6:36,PalaBagnale
113,VIALE S. CATERINA,6:37,
114,VIALE EUROPA,6:38,Fr. inc. Via Padula
115,VIALE EUROPA,6:38,Fr. Bar Europa
116,VIALE EUROPA,6:39,
117,VIALE EUROPA,6:39,
118,VIALE EUROPA,6:40,
119,VIA LAZZAZZERA,6:42,Caserma GdF
137,VIA LAZZAZZERA,6:42,
138,VIA LAZZAZZERA,6:42,Datacontact
139,VIA NAZIONALE,6:43,Farmacia
152,VIA MANZONI,6:43,
,VIA DEI NORMANNI,6:45,
110,VIALE ITALIA,6:45,
111,VIALE ITALIA,6:46,
112,VIALE ITALIA,6:46,f. inc. V. Aragonesi
60,VIA TRABACI,6:47,
59,VIA B. CROCE,6:48,Chiesa S .Giacomo
1,VIA FERMI,6:48,scuola elem.
2,VIA FERMI,6:49,
,VIA TRABACI,6:49,
3,VIA MATTEI,6:50,Farmacia
4,VIA SALLUSTIO,6:50,Piazza
5,VIA SALLUSTIO,6:51,
,VIA GRAVINA,6:51,
207,P.ZZA VIVALDI,6:52,
208,ROTONDA ARCO,6:53,
209,VIA DALLA CHIESA,6:53,Happy Casa
210,VIA GRAVINA,6:54,
219,VIA GRANULARI,6:55,
220,VIA GRANULARI,6:55,
221,VIA GRANULARI,6:56,
222,VIA DELLE ARTI,6:57,
