id,name,time,comment
1,VIA FERMI,6:50,Scuola elem.
2,VIA FERMI,6:50,
,VIA TRABACI,6:52,
3,VIA MATTEI,6:53,Farmacia
4,VIA SALLUSTIO,6:55,Piazza
5,VIA SALLUSTIO,6:56,
6,VIA GRAVINA,6:57,Snam
7,VIA DEI DAUNI,6:58,
8,VIA DEI PEUCEZI,7:00,inc. Via Messapi
9,VIA DEI PEUCEZI,7:00,
10,VIA DEI PEUCEZI,7:01,inc. Via Japigi
11,VIA DEI PEUCEZI,7:01,
12,VIA NAZIONALE,7:02,Fr. Staz. Villa L.
13,VIA NAZIONALE,7:03,
14,VIA NAZIONALE,7:03,
15,VIA NAZIONALE,7:03,Fr. Farmacia
16,VIA NAZIONALE,7:04,
17,VIA ANNUNZIATELLA,7:05,
18,VIA ANNUNZIATELLA,7:05,
19,VIA ANNUNZIATELLA,7:06,inc.Via Rosselli
,VIA XX SETTEMBRE,7:07,
20,VIA LUCANA,7:08,
21-22,VIA LUCANA,7:10,Boschetto
23,VIA LUCANA,7:11,Inail
24,VIA LUCANA,7:11,
25,VIA LUCANA,7:12,Provincia
26,VIA LUCANA,7:12,Fr.Chiesa S.Rocco
27,VIA LUCANA,7:12,
28,VIA LUCANA,7:13,Milizia
29,VIA CAPPUCCINI,7:15,
30,VIA CAPPUCCINI,7:15,
31,VIA GUIDA,7:16,
32,VIA FRANGIONE,7:16,Scuola elem.
33,VIA FARINA,7:16,
34,VIA FARINA,7:17,
35,VIA FARINA,7:17,
36,VIA FARINA,7:18,
37,VIA FRANGIONE,7:20,Capolinea - ASM
37,VIA FRANGIONE,7:30,Capolinea - ASM
38,VIA MONTESCAGLIOSO,7:31,
39,VIA LUCANA,7:32,Milizia
40,VIA LUCANA,7:32,
41,VIA LUCANA,7:33,Chiesa S. Rocco
42,VIA LUCANA,7:33,Provincia
43,VIA LUCANA,7:34,
44,VIA LUCANA,7:35,Inail
45,VIA LUCANA,7:35,Ex Bar Antico
46,VIA LUCANA,7:36,Cinema Duni
,VIA XX SETTEMBRE,7:36,
47,VIA ANNUNZIATELLA,7:37,inc. Via Rosselli
48,VIA ANNUNZIATELLA ,7:37,Cons. di Bonif.
49,VIA MARCONI,7:38,
50,VIA MARCONI,7:39,
51,VIA MARCONI ,7:40,Fr. Chiesa SS. Ann.
52,VIA SAN PARDO,7:41,
53,VIA SAN PARDO,7:42,civico 96
54,VIA SAN PARDO,7:43,
55,VIA STURZO,7:45,Fr. Chiesa S.Paolo
56,VIA STURZO,7:45,
57,VIA STURZO,7:46,Telecom
60,VIA TRABACI,7:48,
59,VIA B. CROCE,7:48,Chiesa S .Giacomo
1,VIA FERMI,7:50,Scuola elem.
