id,name,time,comment
61,VIA SINNI,7:30,CAPOLINEA
62,VIA AGRI,7:30,
63,VIA AGRI,7:31,
64,VIA CONVERSI,7:31,
65,VIA CONVERSI,7:32,
66,VIA B. CROCE,7:33,Fr. ex Biblioteca
67,VIA B. CROCE,7:33,Fr. Chiesa S.Giacomo
68,VIA TRABACI,7:34,Edicola
69,VIALE ITALIA,7:35,civico 4
70,VIALE ITALIA,7:35,
71,VIALE ITALIA,7:36,Murales
72,VIA DEI NORMANNI,7:36,inc. Via De Martino
73,VIA COLLODI,7:39,
74,VIA COLLODI,7:40,
75,VIALE EUROPA,7:40,
76,VIALE EUROPA,7:41,
77,VIALE EUROPA,7:42,
78,VIALE EUROPA,7:43,Bar Europa
79,VIALE EUROPA,7:44,inc. Via Padula
80,VIALE EUROPA,7:44,
,VIA DE ROBERTIS,7:44,
81,VIA CAPPELLUTI,7:45,
82,VIA PASSARELLI,7:46,
83,VIA PASSARELLI,7:46,
84,VIA PASSARELLI,7:47,civico 3
21-22,VIA LUCANA,7:47,Boschetto
23,VIA LUCANA,7:48,Inail
85,VIA LANERA,7:49,
86,VIA LEVI,7:50,Chiesa S. Antonio
87,VIA LEVI,7:51,
88,VIA LEVI,7:51,
89,VIA LEVI,7:51,
90,VIA MONTESCAGLIOSO,7:53,Ospedale
91,VIA MONTESCAGLIOSO,7:53,
92,VIA MONTESCAGLIOSO,7:53,ASM
93,VIA MONTESCAGLIOSO,7:53,
94,SERRA LOCONTE,7:55,
94,SERRA LOCONTE,7:55,
95,SERRA LOCONTE,7:56,
96,VIA MONTESCAGLIOSO,7:57,inc. C.da S.Francesco
97,VIA MONTESCAGLIOSO,7:57,
38,VIA MONTESCAGLIOSO,7:57,
98,VIA LEVI,7:57,Ospedale
99,VIA LEVI,7:58,
100,VIA DELL' ULIVO,7:58,Piazza Semeria
101,VIA DELLA QUERCIA,7:58,
102,VIA DELLA QUERCIA,7:58,
103,VIA LANERA,7:59,Ist. Magistrale
44,VIA LUCANA,7:59,Inail
45,VIA LUCANA,8:00,Ex Bar Antico
,VIA ROMA,8:02,
104 -,105 PIAZZA MATTEOTTI,8:03,
106 -,107 VIA MORO,8:04,Ist. Commerciale
,VIALE NAZ. UNITE,8:05,PalaBagnale
272,VIALE NAZ. UNITE,8:06,Campo Scuola
292,VIA COLLODI,8:09,
109,VIA COLLODI,8:10,
110,VIALE ITALIA,8:13,
111,VIALE ITALIA,8:14,
112,VIALE ITALIA,8:15,
60,VIA TRABACI,8:16,
59,VIA B. CROCE,8:18,Chiesa S .Giacomo
108,VIA B. CROCE,8:19,Ex Biblioteca
61,VIA SINNI,8:20,CAPOLINEA
